Date,Daily LPG Imports,LPG Imports(Modified)
2013-01-01 00:00:00,235855.3992,245855.3992
2013-01-02 00:00:00,328297.0447,338297.0447
2013-01-03 00:00:00,105912.6932,115912.6932
2013-01-04 00:00:00,266742.4569,276742.4569
2013-01-05 00:00:00,215043.9965,225043.9965
2013-01-06 00:00:00,312600.552,322600.552
2013-01-07 00:00:00,244143.1982,254143.1982
2013-01-08 00:00:00,186896.9882,196896.9882
2013-01-09 00:00:00,63816.64703,73816.64703
2013-01-10 00:00:00,75014.70259,85014.70259
2013-01-11 00:00:00,160927.793,170927.793
2013-01-12 00:00:00,269159.8559,279159.8559
2013-01-13 00:00:00,29090.76625,39090.76625
2013-01-14 00:00:00,309306.5462,319306.5462
2013-01-15 00:00:00,65264.81639,75264.81639
2013-01-16 00:00:00,235478.1621,245478.1621
2013-01-17 00:00:00,137531.6081,147531.6081
2013-01-18 00:00:00,296083.7568,306083.7568
2013-01-19 00:00:00,108510.1335,118510.1335
2013-01-20 00:00:00,188792.4679,198792.4679
2013-01-21 00:00:00,162649.2434,172649.2434
2013-01-22 00:00:00,163471.9055,173471.9055
2013-01-23 00:00:00,200421.9822,210421.9822
2013-01-24 00:00:00,232733.432,242733.432
2013-01-25 00:00:00,249604.8772,259604.8772
2013-01-26 00:00:00,165433.2724,175433.2724
2013-01-27 00:00:00,183944.3124,193944.3124
2013-01-28 00:00:00,54399.11835,64399.11835
2013-01-29 00:00:00,194645.8343,204645.8343
2013-01-30 00:00:00,290455.0005,300455.0005
2013-01-31 00:00:00,40560.08331,50560.08331
2013-02-01 00:00:00,224795.9851,234795.9851
2013-02-02 00:00:00,157908.3235,167908.3235
2013-02-03 00:00:00,242457.9687,252457.9687
2013-02-04 00:00:00,176380.1174,186380.1174
2013-02-05 00:00:00,187943.1604,197943.1604
2013-02-06 00:00:00,257414.4902,267414.4902
2013-02-07 00:00:00,237079.1278,247079.1278
2013-02-08 00:00:00,58738.65107,68738.65107
2013-02-09 00:00:00,62387.45148,72387.45148
2013-02-10 00:00:00,285852.4968,295852.4968
2013-02-11 00:00:00,116308.0501,126308.0501
2013-02-12 00:00:00,201209.916,211209.916
2013-02-13 00:00:00,296111.7587,306111.7587
2013-02-14 00:00:00,53498.33952,63498.33952
2013-02-15 00:00:00,250380.681,260380.681
2013-02-16 00:00:00,255247.638,265247.638
2013-02-17 00:00:00,130678.0244,140678.0244
2013-02-18 00:00:00,57813.68741,67813.68741
2013-02-19 00:00:00,123588.515,133588.515
2013-02-20 00:00:00,61451.92676,71451.92676
2013-02-21 00:00:00,178926.8982,188926.8982
2013-02-22 00:00:00,200232.7286,210232.7286
2013-02-23 00:00:00,101147.0242,111147.0242
2013-02-24 00:00:00,78653.91067,88653.91067
2013-02-25 00:00:00,27584.67562,37584.67562
2013-02-26 00:00:00,300869.433,310869.433
2013-02-27 00:00:00,106659.1306,116659.1306
2013-02-28 00:00:00,59718.28189,69718.28189
2013-03-01 00:00:00,301863.2116,311863.2116
2013-03-02 00:00:00,66707.29909,76707.29909
2013-03-03 00:00:00,56819.05035,66819.05035
